,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00-01:00,Alis,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.002,0.0,0.002,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
00:00-01:00,Veris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.003,0.316,0.315,0.0,0.0,0.0,0.319,0.65,0.39,0.309,0.162,0.31,0.313,0.311,0.32,
01:00-02:00,Alis,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01:00-02:00,Veris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312,0.312,0.0,0.0,0.0,0.316,0.649,0.39,0.31,0.163,0.31,0.312,0.311,0.319,
02:00-03:00,Alis,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
02:00-03:00,Veris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.181,0.65,0.39,0.307,0.163,0.31,0.308,0.31,0.316,
03:00-04:00,Alis,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,
03:00-04:00,Veris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.65,0.39,0.238,0.162,0.307,0.001,0.308,0.001,
04:00-05:00,Alis,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,
04:00-05:00,Veris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.618,0.389,0.237,0.163,0.002,0.0,0.001,0.0,
